"No.","Time","Source","Destination","Protocol","Length","Info"
"46","55.058450","147.32.83.245","88.230.45.228","TCP","54","445  >  31435 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"47","56.473563","JuniperN_0c:3c:60","Broadcast","ARP","60","Who has 147.32.83.245? Tell 147.32.83.1"
"48","56.474619","PcsCompu_c7:40:4d","JuniperN_0c:3c:60","ARP","42","147.32.83.245 is at 08:00:27:c7:40:4d"
"49","60.909313","89.248.168.62","147.32.83.245","TCP","60","41790  >  9430 [SYN] Seq=0 Win=1024 Len=0"
"50","60.909802","147.32.83.245","89.248.168.62","TCP","54","9430  >  41790 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"51","61.557285","147.32.83.245","104.244.42.194","TLSv1.2","112","Application Data"
"52","61.565173","104.244.42.194","147.32.83.245","TLSv1.2","112","Application Data"
"53","61.568449","147.32.83.245","104.244.42.194","TCP","66","60640  >  443 [ACK] Seq=185 Ack=185 Win=1641 Len=0 TSval=6895 TSecr=199184134"
"54","62.825791","147.32.83.245","224.0.0.251","MDNS","74","Standard query 0x0000 PTR _fb._tcp.local, ""QM"" question"
"55","62.825800","147.32.83.245","224.0.0.251","MDNS","74","Standard query 0x0000 PTR _fb._tcp.local, ""QM"" question"
"56","62.905992","147.32.83.245","209.237.199.128","TLSv1.2","112","Application Data"
"57","62.914034","209.237.199.128","147.32.83.245","TLSv1.2","112","Application Data"
"58","62.914281","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=185 Ack=185 Win=1641 Len=0 TSval=7232 TSecr=1333812302"
"59","72.336439","189.254.235.156","147.32.83.245","TCP","62","63725  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1380 SACK_PERM=1"
"60","72.337150","147.32.83.245","189.254.235.156","TCP","54","445  >  63725 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"61","73.014879","189.254.235.156","147.32.83.245","TCP","62","[TCP Port numbers reused] 63725  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1380 SACK_PERM=1"
"62","73.015364","147.32.83.245","189.254.235.156","TCP","54","445  >  63725 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"63","81.599654","147.32.83.245","104.244.42.194","TLSv1.2","112","Application Data"
"64","81.608450","104.244.42.194","147.32.83.245","TLSv1.2","112","Application Data"
"65","81.608753","147.32.83.245","104.244.42.194","TCP","66","60640  >  443 [ACK] Seq=231 Ack=231 Win=1641 Len=0 TSval=11905 TSecr=199204177"
"66","82.839491","147.32.83.245","172.217.23.206","TLSv1.2","97","Encrypted Alert"
"67","82.840165","172.217.23.206","147.32.83.245","TCP","60","443  >  60742 [RST] Seq=2 Win=0 Len=0"
"68","82.840550","147.32.83.245","172.217.23.206","TCP","66","60742  >  443 [FIN, ACK] Seq=32 Ack=2 Win=1728 Len=0 TSval=12213 TSecr=3736936819"
"69","82.949968","147.32.83.245","209.237.199.128","TLSv1.2","112","Application Data"
"70","82.958029","209.237.199.128","147.32.83.245","TLSv1.2","112","Application Data"
"71","82.958543","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=231 Ack=231 Win=1641 Len=0 TSval=12243 TSecr=1333832346"
"72","88.771059","45.129.33.182","147.32.83.245","TCP","60","57240  >  41025 [SYN] Seq=0 Win=1024 Len=0"
"73","88.771593","147.32.83.245","45.129.33.182","TCP","54","41025  >  57240 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"74","101.642296","147.32.83.245","104.244.42.194","TLSv1.2","112","Application Data"
"75","101.649810","104.244.42.194","147.32.83.245","TLSv1.2","112","Application Data"
"76","101.650799","147.32.83.245","104.244.42.194","TCP","66","60640  >  443 [ACK] Seq=277 Ack=277 Win=1641 Len=0 TSval=16916 TSecr=199224217"
"77","102.989949","147.32.83.245","209.237.199.128","TLSv1.2","112","Application Data"
"78","102.998095","209.237.199.128","147.32.83.245","TLSv1.2","112","Application Data"
"79","102.999057","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=277 Ack=277 Win=1641 Len=0 TSval=17253 TSecr=1333852386"
"80","109.824247","109.166.70.172","147.32.83.245","TCP","60","43765  >  1433 [SYN] Seq=0 Win=1024 Len=0"
"81","109.825064","147.32.83.245","109.166.70.172","TCP","54","1433  >  43765 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"82","111.221903","104.152.52.23","147.32.83.245","TCP","60","45078  >  9200 [SYN] Seq=0 Win=1024 Len=0"
"83","111.223110","147.32.83.245","104.152.52.23","TCP","54","9200  >  45078 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"84","117.301252","45.129.33.178","147.32.83.245","TCP","60","57114  >  40650 [SYN] Seq=0 Win=1024 Len=0"
"85","117.301850","147.32.83.245","45.129.33.178","TCP","54","40650  >  57114 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"86","117.447712","147.32.83.245","172.217.23.206","TLSv1.2","927","Application Data"
"87","117.452457","172.217.23.206","147.32.83.245","TCP","66","443  >  60762 [ACK] Seq=1 Ack=862 Win=274 Len=0 TSval=420736255 TSecr=20865"
"88","117.469993","172.217.23.206","147.32.83.245","TLSv1.2","656","Application Data"
"89","117.470004","172.217.23.206","147.32.83.245","TLSv1.2","356","Application Data"
"90","117.470055","172.217.23.206","147.32.83.245","TLSv1.2","93","Application Data"
"91","117.472318","147.32.83.245","172.217.23.206","TCP","66","60762  >  443 [ACK] Seq=862 Ack=908 Win=1681 Len=0 TSval=20871 TSecr=420736272"
"92","121.684839","147.32.83.245","104.244.42.194","TLSv1.2","112","Application Data"
"93","121.692734","104.244.42.194","147.32.83.245","TLSv1.2","112","Application Data"
"94","121.693825","147.32.83.245","104.244.42.194","TCP","66","60640  >  443 [ACK] Seq=323 Ack=323 Win=1641 Len=0 TSval=21926 TSecr=199244259"
"95","123.008255","147.32.83.245","209.237.199.128","TLSv1.2","112","Application Data"
"96","123.016677","209.237.199.128","147.32.83.245","TLSv1.2","112","Application Data"
"97","123.017416","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=323 Ack=323 Win=1641 Len=0 TSval=22257 TSecr=1333872404"
"98","141.711921","147.32.83.245","104.244.42.194","TLSv1.2","112","Application Data"
"99","141.719356","104.244.42.194","147.32.83.245","TLSv1.2","112","Application Data"
"100","141.720097","147.32.83.245","104.244.42.194","TCP","66","60640  >  443 [ACK] Seq=369 Ack=369 Win=1641 Len=0 TSval=26933 TSecr=199264285"
"101","143.050428","147.32.83.245","209.237.199.128","TLSv1.2","112","Application Data"
"102","143.058567","209.237.199.128","147.32.83.245","TLSv1.2","112","Application Data"
"103","143.059492","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=369 Ack=369 Win=1641 Len=0 TSval=27268 TSecr=1333892446"
"104","146.251842","104.152.52.23","147.32.83.245","UDP","60","45078  >  3456 Len=0"
"105","146.252213","147.32.83.245","104.152.52.23","ICMP","70","Destination unreachable (Port unreachable)"
"106","147.917137","104.152.52.23","147.32.83.245","TCP","60","45078  >  9418 [SYN] Seq=0 Win=1024 Len=0"
"107","147.917966","147.32.83.245","104.152.52.23","TCP","54","9418  >  45078 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"108","148.769498","104.152.52.23","147.32.83.245","UDP","60","45078  >  158 Len=0"
"109","148.770470","147.32.83.245","104.152.52.23","ICMP","70","Destination unreachable (Port unreachable)"
"110","149.454093","147.32.83.245","209.237.199.128","TLSv1.2","442","Application Data"
"111","149.502181","209.237.199.128","147.32.83.245","TCP","66","443  >  42290 [ACK] Seq=369 Ack=745 Win=153 Len=0 TSval=1333898890 TSecr=28866"
"112","149.653559","209.237.199.128","147.32.83.245","TLSv1.2","403","Application Data, Application Data"
"113","149.655732","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=745 Ack=706 Win=1686 Len=0 TSval=28916 TSecr=1333899041"
"114","149.811035","147.32.83.245","209.237.199.128","TLSv1.2","504","Application Data"
"115","149.819019","209.237.199.128","147.32.83.245","TCP","66","443  >  42290 [ACK] Seq=706 Ack=1183 Win=164 Len=0 TSval=1333899207 TSecr=28956"
"116","149.966294","209.237.199.128","147.32.83.245","TLSv1.2","1155","Application Data, Application Data"
"117","149.967051","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=1183 Ack=1795 Win=1731 Len=0 TSval=28994 TSecr=1333899354"
"118","149.976583","147.32.83.245","104.244.42.194","TLSv1.2","135","Application Data"
"119","150.024373","104.244.42.194","147.32.83.245","TCP","66","443  >  60640 [ACK] Seq=369 Ack=438 Win=306 Len=0 TSval=199272590 TSecr=28997"
"120","150.044824","147.32.83.245","209.237.199.128","TLSv1.2","121","Application Data"
"121","150.052748","209.237.199.128","147.32.83.245","TCP","66","443  >  42290 [ACK] Seq=1795 Ack=1238 Win=164 Len=0 TSval=1333899440 TSecr=29014"
"122","150.089076","104.244.42.194","147.32.83.245","TLSv1.2","339","Application Data, Application Data"
"123","150.090004","147.32.83.245","104.244.42.194","TCP","66","60640  >  443 [ACK] Seq=438 Ack=642 Win=1686 Len=0 TSval=29025 TSecr=199272655"
"124","150.165631","209.237.199.128","147.32.83.245","TLSv1.2","231","Application Data, Application Data"
"125","150.166080","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=1238 Ack=1960 Win=1776 Len=0 TSval=29044 TSecr=1333899553"
"126","150.211128","147.32.83.245","209.237.199.128","TLSv1.2","601","Application Data"
"127","150.219072","209.237.199.128","147.32.83.245","TCP","66","443  >  42290 [ACK] Seq=1960 Ack=1773 Win=176 Len=0 TSval=1333899607 TSecr=29056"
"128","150.345526","209.237.199.128","147.32.83.245","TLSv1.2","801","Application Data, Application Data"
"129","150.350769","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=1773 Ack=2695 Win=1822 Len=0 TSval=29090 TSecr=1333899733"
"130","150.547957","147.32.83.245","209.237.199.128","TLSv1.2","454","Application Data"
"131","150.555984","209.237.199.128","147.32.83.245","TCP","66","443  >  42290 [ACK] Seq=2695 Ack=2161 Win=187 Len=0 TSval=1333899944 TSecr=29139"
"132","150.690170","209.237.199.128","147.32.83.245","TLSv1.2","328","Application Data, Application Data"
"133","150.691547","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=2161 Ack=2957 Win=1867 Len=0 TSval=29176 TSecr=1333900078"
"134","150.978092","147.32.83.245","209.237.199.128","TLSv1.2","854","Application Data"
"135","150.986087","209.237.199.128","147.32.83.245","TCP","66","443  >  42290 [ACK] Seq=2957 Ack=2949 Win=198 Len=0 TSval=1333900374 TSecr=29247"
"136","150.986350","147.32.83.245","209.237.199.128","TLSv1.2","104","Application Data"
"137","150.994259","209.237.199.128","147.32.83.245","TCP","66","443  >  42290 [ACK] Seq=2957 Ack=2987 Win=198 Len=0 TSval=1333900382 TSecr=29249"
"138","151.116288","209.237.199.128","147.32.83.245","TLSv1.2","192","Application Data, Application Data"
"139","151.116824","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=2987 Ack=3083 Win=1867 Len=0 TSval=29282 TSecr=1333900504"
"140","151.584229","147.32.83.245","104.244.42.194","TLSv1.2","498","Application Data"
"141","151.591712","104.244.42.194","147.32.83.245","TCP","66","443  >  60640 [ACK] Seq=642 Ack=870 Win=317 Len=0 TSval=199274157 TSecr=29399"
"142","151.593939","147.32.83.245","104.244.42.194","TLSv1.2","359","Application Data"
"143","151.601275","104.244.42.194","147.32.83.245","TCP","66","443  >  60640 [ACK] Seq=642 Ack=1163 Win=328 Len=0 TSval=199274167 TSecr=29401"
"144","151.717259","104.244.42.194","147.32.83.245","TLSv1.2","261","Application Data, Application Data"
"145","151.718060","147.32.83.245","104.244.42.194","TCP","66","60640  >  443 [ACK] Seq=1163 Ack=837 Win=1731 Len=0 TSval=29432 TSecr=199274283"
"146","151.739071","104.244.42.194","147.32.83.245","TLSv1.2","1477","Application Data, Application Data"
"147","151.740659","147.32.83.245","104.244.42.194","TCP","66","60640  >  443 [ACK] Seq=1163 Ack=2248 Win=1776 Len=0 TSval=29438 TSecr=199274305"
"148","151.917515","147.32.83.245","209.237.199.128","TLSv1.2","782","Application Data"
"149","151.925593","209.237.199.128","147.32.83.245","TCP","66","443  >  42290 [ACK] Seq=3083 Ack=3703 Win=210 Len=0 TSval=1333901313 TSecr=29482"
"150","151.965778","147.32.83.245","209.237.199.128","TLSv1.2","464","Application Data"
"151","151.973718","209.237.199.128","147.32.83.245","TCP","66","443  >  42290 [ACK] Seq=3083 Ack=4101 Win=221 Len=0 TSval=1333901361 TSecr=29494"
"152","152.039893","209.237.199.128","147.32.83.245","TLSv1.2","299","Application Data, Application Data"
"153","152.044056","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=4101 Ack=3316 Win=1912 Len=0 TSval=29514 TSecr=1333901427"
"154","152.107660","147.32.83.245","104.244.42.194","TLSv1.2","255","Application Data"
"155","152.115003","104.244.42.194","147.32.83.245","TCP","66","443  >  60640 [ACK] Seq=2248 Ack=1352 Win=340 Len=0 TSval=199274681 TSecr=29530"
"156","152.209609","209.237.199.128","147.32.83.245","TLSv1.2","384","Application Data, Application Data"
"157","152.212028","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=4101 Ack=3634 Win=1957 Len=0 TSval=29556 TSecr=1333901597"
"158","152.251099","104.244.42.194","147.32.83.245","TLSv1.2","1192","Application Data, Application Data"
"159","152.251391","147.32.83.245","104.244.42.194","TCP","66","60640  >  443 [ACK] Seq=1352 Ack=3374 Win=1822 Len=0 TSval=29566 TSecr=199274817"
"160","153.507622","147.32.83.245","104.244.42.3","TCP","74","56804  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=29880 TSecr=0 WS=64"
"161","153.514997","104.244.42.3","147.32.83.245","TCP","74","443  >  56804 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3204969720 TSecr=29880 WS=256"
"162","153.516286","147.32.83.245","104.244.42.3","TCP","66","56804  >  443 [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=29882 TSecr=3204969720"
"163","153.520451","147.32.83.245","104.244.42.3","TLSv1.2","583","Client Hello"
"164","153.527773","104.244.42.3","147.32.83.245","TCP","66","443  >  56804 [ACK] Seq=1 Ack=518 Win=30208 Len=0 TSval=3204969732 TSecr=29882"
"165","153.529947","104.244.42.3","147.32.83.245","TLSv1.2","3363","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"166","153.530385","147.32.83.245","104.244.42.3","TCP","66","56804  >  443 [ACK] Seq=518 Ack=1449 Win=90496 Len=0 TSval=29885 TSecr=3204969735"
"167","153.530448","147.32.83.245","104.244.42.3","TCP","66","56804  >  443 [ACK] Seq=518 Ack=2897 Win=93440 Len=0 TSval=29885 TSecr=3204969735"
"168","153.530546","147.32.83.245","104.244.42.3","TCP","66","56804  >  443 [ACK] Seq=518 Ack=3298 Win=96320 Len=0 TSval=29885 TSecr=3204969735"
"169","153.607968","147.32.83.245","104.244.42.3","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"170","153.613863","147.32.83.245","209.237.199.128","TLSv1.2","911","Application Data"
"171","153.615613","104.244.42.3","147.32.83.245","TLSv1.2","308","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"172","153.615631","104.244.42.3","147.32.83.245","TLSv1.2","110","Application Data"
"173","153.616012","147.32.83.245","104.244.42.3","TLSv1.2","205","Application Data, Application Data, Application Data"
"174","153.622023","209.237.199.128","147.32.83.245","TCP","66","443  >  42290 [ACK] Seq=3634 Ack=4946 Win=232 Len=0 TSval=1333903010 TSecr=29906"
"175","153.622350","147.32.83.245","209.237.199.128","TLSv1.2","104","Application Data"
"176","153.623304","104.244.42.3","147.32.83.245","TLSv1.2","104","Application Data"
"177","153.623689","147.32.83.245","104.244.42.3","TCP","66","56804  >  443 [ACK] Seq=783 Ack=3622 Win=99200 Len=0 TSval=29909 TSecr=3204969820"
"178","153.630321","209.237.199.128","147.32.83.245","TCP","66","443  >  42290 [ACK] Seq=3634 Ack=4984 Win=232 Len=0 TSval=1333903018 TSecr=29908"
"179","153.635495","147.32.83.245","104.244.42.3","TLSv1.2","1039","Application Data"
"180","153.684234","104.244.42.3","147.32.83.245","TCP","66","443  >  56804 [ACK] Seq=3622 Ack=1756 Win=33280 Len=0 TSval=3204969889 TSecr=29911"
"181","153.684944","147.32.83.245","104.244.42.3","TLSv1.2","104","Application Data"
"182","153.692242","104.244.42.3","147.32.83.245","TCP","66","443  >  56804 [ACK] Seq=3622 Ack=1794 Win=33280 Len=0 TSval=3204969897 TSecr=29924"
"183","153.766328","104.244.42.3","147.32.83.245","TLSv1.2","489","Application Data"
"184","153.766360","104.244.42.3","147.32.83.245","TLSv1.2","251","Application Data"
"185","153.766421","104.244.42.3","147.32.83.245","TLSv1.2","134","Application Data"
"186","153.770288","147.32.83.245","104.244.42.3","TCP","66","56804  >  443 [ACK] Seq=1794 Ack=4298 Win=105024 Len=0 TSval=29945 TSecr=3204969971"
"187","153.819681","147.32.83.245","104.244.42.3","TLSv1.2","880","Application Data"
"188","153.827100","104.244.42.3","147.32.83.245","TCP","66","443  >  56804 [ACK] Seq=4298 Ack=2608 Win=35072 Len=0 TSval=3204970032 TSecr=29957"
"189","153.827752","147.32.83.245","104.244.42.3","TLSv1.2","104","Application Data"
"190","153.835101","104.244.42.3","147.32.83.245","TCP","66","443  >  56804 [ACK] Seq=4298 Ack=2646 Win=35072 Len=0 TSval=3204970040 TSecr=29960"
"191","153.954886","104.244.42.3","147.32.83.245","TLSv1.2","292","Application Data, Application Data"
"192","153.995011","147.32.83.245","104.244.42.3","TCP","66","56804  >  443 [ACK] Seq=2646 Ack=4524 Win=107904 Len=0 TSval=30002 TSecr=3204970160"
"193","154.600924","209.237.199.128","147.32.83.245","TLSv1.2","5858","Application Data, Application Data"
"194","154.600994","209.237.199.128","147.32.83.245","TCP","1514","443  >  42290 [ACK] Seq=9426 Ack=4984 Win=232 Len=1448 TSval=1333903988 TSecr=29908 [TCP segment of a reassembled PDU]"
"195","154.601002","209.237.199.128","147.32.83.245","TLSv1.2","7306","Application Data, Application Data"
"196","154.602496","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=4984 Ack=5082 Win=2003 Len=0 TSval=30153 TSecr=1333903988"
"197","154.602546","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=4984 Ack=6530 Win=2048 Len=0 TSval=30153 TSecr=1333903988"
"198","154.602572","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=4984 Ack=7978 Win=2093 Len=0 TSval=30153 TSecr=1333903988"
"199","154.602585","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=4984 Ack=9426 Win=2138 Len=0 TSval=30153 TSecr=1333903988"
"200","154.602610","147.32.83.245","209.237.199.128","TCP","78","[TCP Window Update] 42290  >  443 [ACK] Seq=4984 Ack=9426 Win=2184 Len=0 TSval=30153 TSecr=1333903988 SLE=10874 SRE=12322"
"201","154.602625","147.32.83.245","209.237.199.128","TCP","78","[TCP Window Update] 42290  >  443 [ACK] Seq=4984 Ack=9426 Win=2229 Len=0 TSval=30153 TSecr=1333903988 SLE=10874 SRE=13770"
"202","154.602674","147.32.83.245","209.237.199.128","TCP","78","[TCP Window Update] 42290  >  443 [ACK] Seq=4984 Ack=9426 Win=2274 Len=0 TSval=30153 TSecr=1333903988 SLE=10874 SRE=15218"
"203","154.602691","147.32.83.245","209.237.199.128","TCP","78","[TCP Window Update] 42290  >  443 [ACK] Seq=4984 Ack=9426 Win=2319 Len=0 TSval=30153 TSecr=1333903988 SLE=10874 SRE=16666"
"204","154.602702","147.32.83.245","209.237.199.128","TCP","78","[TCP Window Update] 42290  >  443 [ACK] Seq=4984 Ack=9426 Win=2365 Len=0 TSval=30153 TSecr=1333903988 SLE=10874 SRE=18114"
"205","154.602714","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=4984 Ack=18114 Win=2410 Len=0 TSval=30153 TSecr=1333903988"
"206","154.610479","209.237.199.128","147.32.83.245","TLSv1.2","5858","Application Data, Application Data, Application Data"
"207","154.610581","209.237.199.128","147.32.83.245","TLSv1.2","8754","Application Data, Application Data"
"208","154.610655","209.237.199.128","147.32.83.245","TCP","1514","[TCP Spurious Retransmission] 443  >  42290 [ACK] Seq=9426 Ack=4984 Win=232 Len=1448 TSval=1333903998 TSecr=30153"
"209","154.610668","209.237.199.128","147.32.83.245","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"210","154.610745","209.237.199.128","147.32.83.245","TLSv1.2","5858","Application Data, Application Data, Application Data"
"211","154.612815","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=4984 Ack=19562 Win=2455 Len=0 TSval=30156 TSecr=1333903998"
"212","154.612849","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=4984 Ack=21010 Win=2500 Len=0 TSval=30156 TSecr=1333903998"
"213","154.612865","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=4984 Ack=22458 Win=2546 Len=0 TSval=30156 TSecr=1333903998"
"214","154.612878","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=4984 Ack=23906 Win=2591 Len=0 TSval=30156 TSecr=1333903998"
"215","154.612890","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=4984 Ack=25354 Win=2636 Len=0 TSval=30156 TSecr=1333903998"
"216","154.612903","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=4984 Ack=26802 Win=2681 Len=0 TSval=30156 TSecr=1333903998"
